iter	Passed	Remaining
0	1	104
1	1	73
2	1	57
3	2	50
4	2	45
5	2	41
6	3	40
7	3	38
8	3	38
9	4	36
10	4	34
11	4	33
12	4	31
13	5	31
14	5	30
15	5	29
16	5	28
17	6	28
18	6	27
19	6	26
20	6	26
21	7	25
22	7	25
23	7	24
24	8	24
25	8	23
26	8	23
27	8	22
28	9	22
29	9	22
30	10	23
31	10	22
32	10	22
33	11	21
34	11	21
35	11	20
36	12	20
37	12	20
38	12	19
39	12	19
40	13	18
41	13	18
42	13	17
43	13	17
44	14	17
45	14	16
46	14	16
47	15	16
48	15	16
49	15	15
50	16	15
51	16	15
52	17	15
53	17	14
54	17	14
55	18	14
56	18	13
57	18	13
58	19	13
59	19	13
60	19	12
61	20	12
62	20	12
63	20	11
64	21	11
65	21	11
66	22	10
67	22	10
68	22	10
69	22	9
70	23	9
71	23	9
72	23	8
73	24	8
74	24	8
75	24	7
76	25	7
77	25	7
78	26	6
79	26	6
80	26	6
81	26	5
82	27	5
83	27	5
84	27	4
85	28	4
86	28	4
87	28	3
88	29	3
89	29	3
90	29	2
91	29	2
92	30	2
93	30	1
94	30	1
95	31	1
96	31	0
97	32	0
98	32	0
99	32	0
