iter	Passed	Remaining
0	1	1267
1	1	795
2	1	635
3	2	548
4	2	491
5	2	471
6	3	448
7	3	420
8	3	403
9	3	386
10	4	372
11	4	361
12	4	366
13	5	364
14	5	367
15	5	361
16	6	354
17	6	348
18	6	343
19	6	336
20	7	333
21	7	336
22	7	336
23	8	337
24	8	336
25	8	336
26	9	334
27	9	330
28	9	326
29	10	326
30	10	324
31	10	323
32	10	319
33	11	319
34	11	317
35	11	317
36	12	317
37	12	315
38	12	312
39	12	310
40	13	308
41	13	305
42	13	303
43	14	306
44	14	306
45	14	305
46	15	304
47	15	302
48	15	303
49	15	303
50	16	302
51	16	300
52	16	299
53	17	298
54	17	297
55	17	297
56	17	296
57	18	295
58	18	295
59	18	295
60	19	294
61	19	295
62	19	296
63	20	296
64	20	295
65	20	293
66	20	292
67	21	290
68	21	289
69	21	288
70	22	289
71	22	289
72	22	290
73	23	290
74	23	290
75	23	289
76	24	288
77	24	287
78	24	286
79	24	285
80	25	284
81	25	283
82	25	281
83	25	282
84	26	281
85	26	280
86	26	280
87	27	280
88	27	279
89	27	278
90	27	278
91	28	277
92	28	276
93	28	275
94	28	274
95	29	275
96	29	275
97	29	274
98	30	273
99	30	273
100	30	272
101	30	272
102	31	271
103	31	270
104	31	269
105	32	270
106	32	269
107	32	268
108	32	267
109	33	267
110	33	266
111	33	265
112	33	264
113	33	263
114	34	262
115	34	262
116	34	261
117	34	260
118	35	259
119	35	259
120	35	259
121	35	258
122	36	258
123	36	258
124	36	257
125	37	257
126	37	257
127	37	257
128	38	256
129	38	256
130	38	255
131	38	254
132	38	254
133	39	253
134	39	253
135	39	252
136	40	252
137	40	251
138	40	251
139	40	251
140	41	251
141	41	249
142	41	249
143	41	248
144	42	248
145	42	247
146	42	246
147	42	246
148	43	245
149	43	245
150	43	245
151	43	245
152	44	244
153	44	244
154	44	243
155	44	243
156	45	242
157	45	242
158	45	242
159	46	241
160	46	240
161	46	240
162	46	240
163	47	240
164	47	241
165	47	240
166	48	240
167	48	239
168	48	239
169	48	238
170	49	238
171	49	237
172	49	237
173	49	237
174	50	236
